,Poste,Note,Nb match,Variation,But,%Titu,Temps,Tps moy,Cleansheet,Pass decis.,Occas° créée,Corner gagné,%Passes,Ballons,Interceptions,Tacles,%Duel,Fautes,But évité,Action stoppée,Ligue,Valeur_Joueur,Note_Max,Note_Min_Sans_Zero,Note_Mediane
567,DC,5.26,31,0.9,1,0.71,2061,66.48,7.5,1.0,0.0,2.0,0.8681,1970.0,47.0,27.0,60.99,23.0,0.0,0.0,Ligue 1,14.0,7.0,3.0,5.0
568,MD,5.26,31,0.69,1,0.68,1934,62.39,6.5,2.0,5.0,0.0,0.8867,1633.0,28.0,33.0,43.59,35.0,0.0,0.0,Ligue 1,12.0,7.0,3.5,5.0
569,DC,5.23,31,0.87,1,0.97,2592,83.61,10.0,0.0,0.0,4.0,0.9083,2224.0,25.0,17.0,59.64,26.0,0.0,0.0,Ligue 1,13.0,7.5,2.5,5.0
570,DL,5.22,18,0.57,1,0.39,654,36.33,3.0,1.0,1.0,2.0,0.7494,380.0,20.0,8.0,37.29,4.0,0.0,0.0,Ligue 1,8.0,6.5,4.0,0.0
571,MO,5.22,27,0.94,1,0.67,1659,61.44,2.0,2.0,4.0,12.0,0.8572,1168.0,25.0,21.0,62.86,13.0,0.0,0.0,Ligue 1,7.0,8.0,3.5,4.75
572,DL,5.21,31,0.81,1,0.9,2531,81.65,10.0,4.0,5.0,18.0,0.8567,2137.0,37.0,32.0,48.04,33.0,0.0,0.0,Ligue 1,9.0,7.0,3.5,5.0
573,DL,5.21,28,0.74,1,0.64,1645,58.75,6.5,4.0,3.0,6.0,0.931,1214.0,9.0,16.0,52.38,7.0,0.0,0.0,Ligue 1,10.0,7.0,3.5,5.0
574,DL,5.21,35,0.95,1,0.91,2899,82.83,11.5,9.0,11.0,16.0,0.8,2310.0,27.0,52.0,59.03,15.0,0.0,0.0,Ligue 1,11.0,7.5,2.5,5.0
575,MO,5.2,20,0.7,1,0.65,1233,61.65,2.5,1.0,4.0,6.0,0.792,769.0,3.0,11.0,44.2,29.0,0.0,0.0,Ligue 1,21.0,6.5,3.5,3.75
576,MO,5.19,16,0.54,1,0.38,521,32.56,3.0,1.0,1.0,1.0,0.8105,493.0,7.0,5.0,45.83,7.0,0.0,0.0,Ligue 1,8.0,6.5,4.5,0.0
577,MD,5.18,22,0.82,1,0.64,1249,56.77,1.5,0.0,4.0,8.0,0.8966,1000.0,15.0,9.0,52.46,12.0,0.0,0.0,Ligue 1,13.0,7.0,3.5,4.5
578,DC,5.17,36,1.15,1,1.0,3155,87.64,11.0,1.0,3.0,1.0,0.821,2336.0,74.0,76.0,59.66,54.0,0.0,0.0,Ligue 1,20.0,7.5,3.0,5.5
579,DC,5.17,38,1.01,1,1.0,3420,90.0,9.0,2.0,2.0,4.0,0.8848,2409.0,38.0,27.0,66.42,16.0,0.0,0.0,Ligue 1,12.0,7.5,2.5,5.5
580,DC,5.16,16,1.11,1,1.0,1418,88.63,8.0,0.0,0.0,0.0,0.8849,1199.0,10.0,7.0,61.29,11.0,0.0,0.0,Ligue 1,2.0,7.0,3.5,0.0
581,MO,5.16,31,0.68,1,0.65,1663,53.65,6.5,4.0,3.0,4.0,0.8341,1071.0,14.0,19.0,40.34,21.0,0.0,0.0,Ligue 1,9.0,7.0,4.5,5.0
582,MO,5.15,23,0.53,1,0.48,1084,47.13,1.5,1.0,1.0,8.0,0.736,618.0,8.0,12.0,46.05,11.0,0.0,0.0,Ligue 1,9.0,6.5,4.5,4.5
