,Poste,Note,Nb match,Variation,But,%Titu,Temps,Tps moy,Cleansheet,Pass decis.,Occas° créée,Corner gagné,%Passes,Ballons,Interceptions,Tacles,%Duel,Fautes,But évité,Action stoppée,Ligue,Valeur_Joueur,Note_Max,Note_Min_Sans_Zero,Note_Mediane
0,A,6.06,32,1.38,26,0.94,2583,80.72,16.5,4.0,2.0,41.0,0.709,892.0,6.0,6.0,43.4,40.0,0.0,0.0,SerieA,82.0,8.5,3.0,6.0
1,A,5.64,38,1.29,21,0.71,2576,67.79,8.5,6.0,9.0,23.0,0.755,1213.0,13.0,14.0,46.43,46.0,0.0,0.0,SerieA,45.0,8.0,3.5,5.75
2,A,5.36,33,1.39,16,0.82,2527,76.58,5.0,6.0,4.0,13.0,0.7805,994.0,7.0,5.0,36.54,28.0,0.0,0.0,SerieA,43.0,8.0,3.0,5.0
3,A,5.83,35,1.42,15,0.8,2430,69.43,8.5,8.0,15.0,33.0,0.7405,1330.0,15.0,7.0,45.54,20.0,0.0,0.0,SerieA,72.0,8.0,3.5,5.25
4,A,5.66,31,1.17,13,0.65,1733,55.9,7.5,6.0,10.0,21.0,0.7623,970.0,4.0,5.0,39.81,24.0,0.0,0.0,SerieA,26.0,8.0,4.0,5.0
5,A,5.2,33,1.04,13,0.76,2147,65.06,11.5,5.0,10.0,10.0,0.6367,852.0,3.0,5.0,51.67,38.0,0.0,0.0,SerieA,19.0,8.0,3.5,5.0
6,A,4.85,31,1.4,13,0.94,2653,85.58,7.5,2.0,2.0,20.0,0.7973,1094.0,7.0,5.0,34.16,57.0,0.0,0.0,SerieA,23.0,7.5,2.5,4.0
7,A,6.16,25,1.31,12,0.84,1751,70.04,10.0,6.0,12.0,19.0,0.8372,1191.0,8.0,4.0,49.75,10.0,0.0,0.0,SerieA,64.0,8.0,4.0,5.0
8,MO,6.0,34,1.28,12,0.88,2539,74.68,14.5,10.0,14.0,30.0,0.8315,1715.0,5.0,23.0,44.79,20.0,0.0,0.0,SerieA,58.0,9.0,3.5,6.0
9,A,5.63,26,1.14,12,0.85,1872,72.0,5.0,7.0,8.0,21.0,0.7241,1283.0,19.0,14.0,45.49,33.0,0.0,0.0,SerieA,42.0,8.0,3.5,5.0
10,A,5.27,31,1.3,12,0.87,2228,71.87,13.5,5.0,2.0,23.0,0.7751,931.0,1.0,5.0,40.0,21.0,0.0,0.0,SerieA,45.0,8.0,3.5,4.5
11,A,5.17,33,1.11,12,0.85,2442,74.0,11.5,4.0,7.0,11.0,0.7601,1022.0,4.0,5.0,42.61,33.0,0.0,0.0,SerieA,29.0,7.5,3.0,4.75
12,A,5.41,32,1.21,11,0.69,2123,66.34,7.5,4.0,4.0,20.0,0.6671,1333.0,8.0,19.0,42.81,39.0,0.0,0.0,SerieA,38.0,8.0,3.5,5.0
13,MO,5.8,35,1.09,10,0.94,2782,79.49,16.5,6.0,10.0,24.0,0.8374,1582.0,21.0,28.0,57.92,53.0,0.0,0.0,SerieA,52.0,8.0,4.5,5.0
14,MD,5.59,33,1.18,10,0.97,2861,86.7,10.0,4.0,8.0,25.0,0.7695,2164.0,19.0,26.0,48.77,48.0,0.0,0.0,SerieA,28.0,9.0,3.5,5.5
15,A,5.38,25,1.18,10,0.76,1663,66.52,7.0,6.0,7.0,12.0,0.6972,620.0,0.0,1.0,40.91,16.0,0.0,0.0,SerieA,33.0,8.0,4.0,4.5
16,A,5.21,21,1.26,10,0.86,1540,73.33,6.5,0.0,4.0,6.0,0.7421,664.0,2.0,6.0,42.61,22.0,0.0,0.0,SerieA,23.0,8.0,3.5,3.75
17,A,5.13,27,1.28,10,0.81,1929,71.44,11.5,2.0,4.0,15.0,0.6562,690.0,3.0,6.0,39.55,19.0,0.0,0.0,SerieA,50.0,7.5,2.5,4.5
18,A,4.88,33,1.1,10,0.7,2133,64.64,6.0,1.0,4.0,20.0,0.6508,753.0,6.0,9.0,42.26,36.0,0.0,0.0,SerieA,57.0,7.5,3.5,4.25
19,MO,5.97,36,1.24,9,0.94,3028,84.11,18.5,8.0,14.0,18.0,0.7556,2601.0,28.0,35.0,51.55,45.0,0.0,0.0,SerieA,42.0,8.5,4.5,5.5
20,MO,5.54,38,1.04,9,0.92,2967,78.08,19.5,2.0,4.0,28.0,0.7925,1988.0,29.0,51.0,48.15,40.0,0.0,0.0,SerieA,34.0,7.5,3.5,5.0
21,A,5.26,33,1.34,9,0.55,1729,52.39,8.0,3.0,4.0,16.0,0.7112,796.0,3.0,2.0,44.05,26.0,0.0,0.0,SerieA,32.0,8.0,4.0,4.5
22,A,5.03,32,1.24,9,0.63,1833,57.28,5.5,2.0,1.0,20.0,0.7199,806.0,1.0,3.0,36.6,21.0,0.0,0.0,SerieA,24.0,7.5,3.0,4.5
23,MD,5.78,32,1.08,8,0.97,2751,85.97,17.5,4.0,1.0,13.0,0.8315,1660.0,26.0,35.0,53.22,45.0,0.0,0.0,SerieA,32.0,8.0,3.5,5.5
24,MO,5.27,35,1.02,8,0.86,2459,70.26,7.0,4.0,7.0,15.0,0.672,1447.0,16.0,26.0,43.5,51.0,0.0,0.0,SerieA,27.0,7.5,3.5,5.0
25,A,5.11,38,0.94,8,0.63,2193,57.71,7.5,3.0,8.0,19.0,0.6761,882.0,3.0,10.0,47.58,33.0,0.0,0.0,SerieA,39.0,7.0,3.0,5.0
26,A,5.04,28,0.94,8,0.54,1431,51.11,4.0,1.0,0.0,10.0,0.7026,543.0,1.0,2.0,43.54,26.0,0.0,0.0,SerieA,26.0,7.0,3.5,4.5
27,A,4.77,32,0.77,8,0.31,1056,33.0,3.5,0.0,1.0,5.0,0.6441,332.0,2.0,3.0,37.84,9.0,0.0,0.0,SerieA,12.0,7.0,4.0,4.5
28,MD,5.57,36,0.96,7,0.97,2892,80.33,9.0,0.0,3.0,22.0,0.7921,1540.0,16.0,36.0,53.8,39.0,0.0,0.0,SerieA,29.0,7.5,3.5,5.5
29,MD,5.56,32,0.81,7,0.84,2324,72.63,10.0,0.0,0.0,10.0,0.8495,1541.0,19.0,25.0,47.83,50.0,0.0,0.0,SerieA,17.0,7.0,4.0,5.25
30,MO,5.49,35,1.26,7,0.91,2736,78.17,6.0,4.0,5.0,40.0,0.7925,1861.0,17.0,7.0,50.4,7.0,0.0,0.0,SerieA,34.0,8.0,2.5,5.5
31,MO,5.46,28,1.39,7,0.96,2191,78.25,8.5,6.0,7.0,28.0,0.7816,1250.0,12.0,15.0,45.85,22.0,0.0,0.0,SerieA,26.0,8.5,3.5,4.5
32,MO,5.31,29,0.92,7,0.48,1520,52.41,8.0,2.0,0.0,15.0,0.8106,1092.0,15.0,9.0,45.0,16.0,0.0,0.0,SerieA,18.0,7.0,4.0,5.0
33,A,4.96,35,1.18,7,0.77,2367,67.63,3.0,2.0,9.0,13.0,0.7129,995.0,6.0,15.0,45.39,41.0,0.0,0.0,SerieA,16.0,8.0,3.5,4.5
34,A,4.96,27,1.13,7,0.63,1581,58.56,9.5,1.0,4.0,5.0,0.7766,680.0,1.0,8.0,44.67,27.0,0.0,0.0,SerieA,21.0,7.0,2.5,4.5
35,A,4.95,33,0.79,7,0.76,2273,68.88,5.0,0.0,1.0,9.0,0.7206,883.0,10.0,8.0,41.32,21.0,0.0,0.0,SerieA,10.0,6.5,3.5,4.5
36,MO,5.76,35,1.02,6,0.77,2443,69.8,15.5,7.0,7.0,23.0,0.8528,2306.0,8.0,30.0,41.01,15.0,0.0,0.0,SerieA,29.0,8.5,4.5,5.5
37,MO,5.56,33,1.04,6,0.82,1947,59.0,10.0,7.0,11.0,16.0,0.8118,1116.0,7.0,15.0,45.79,29.0,0.0,0.0,SerieA,20.0,8.5,4.5,5.0
38,MO,5.5,35,0.94,6,0.89,2621,74.89,9.5,6.0,4.0,21.0,0.8496,2001.0,12.0,25.0,55.43,32.0,0.0,0.0,SerieA,24.0,8.0,4.5,5.0
39,MO,5.49,36,0.7,6,0.39,1615,44.86,8.5,3.0,3.0,15.0,0.8602,1256.0,11.0,13.0,42.31,22.0,0.0,0.0,SerieA,28.0,7.0,4.5,5.5
40,A,5.46,36,1.2,6,0.86,2758,76.61,15.0,5.0,9.0,19.0,0.8214,1683.0,7.0,18.0,49.51,32.0,0.0,0.0,SerieA,24.0,8.0,3.0,5.25
41,MO,5.39,28,1.15,6,0.43,1279,45.68,5.0,1.0,0.0,18.0,0.8159,733.0,9.0,22.0,53.77,25.0,0.0,0.0,SerieA,9.0,8.0,4.0,4.5
42,DC,5.35,30,1.24,6,1.0,2542,84.73,12.5,2.0,3.0,12.0,0.7583,2221.0,35.0,43.0,52.69,47.0,0.0,0.0,SerieA,18.0,8.0,3.0,5.0
43,A,5.31,24,0.91,6,0.54,1352,56.33,4.0,1.0,2.0,19.0,0.6677,891.0,4.0,10.0,60.53,16.0,0.0,0.0,SerieA,22.0,7.0,4.0,4.5
44,DL,5.24,35,1.3,6,1.0,3087,88.2,13.0,5.0,5.0,18.0,0.84,2173.0,24.0,38.0,55.66,41.0,0.0,0.0,SerieA,20.0,8.0,3.0,5.0
45,A,4.87,31,1.07,6,0.52,1527,49.26,3.0,3.0,2.0,10.0,0.7254,477.0,2.0,3.0,36.25,23.0,0.0,0.0,SerieA,9.0,7.0,3.0,4.5
46,A,4.76,36,0.94,6,0.92,2819,78.31,8.0,4.0,4.0,16.0,0.7073,871.0,3.0,3.0,39.2,18.0,0.0,0.0,SerieA,22.0,7.5,3.5,4.5
47,A,4.71,28,1.06,6,0.39,989,35.32,5.0,0.0,1.0,11.0,0.6329,388.0,5.0,6.0,37.69,15.0,0.0,0.0,SerieA,11.0,8.0,2.0,4.5
48,A,4.63,26,1.06,6,0.73,1593,61.27,3.5,2.0,2.0,16.0,0.6274,523.0,3.0,4.0,29.83,34.0,0.0,0.0,SerieA,28.0,7.5,2.5,4.0
49,A,4.62,34,0.82,6,0.59,1812,53.29,2.0,0.0,1.0,11.0,0.5808,715.0,3.0,18.0,46.05,36.0,0.0,0.0,SerieA,11.0,6.5,3.5,4.5
50,MO,5.6,30,0.83,5,0.7,1912,63.73,5.5,1.0,3.0,21.0,0.841,1234.0,16.0,23.0,51.14,24.0,0.0,0.0,SerieA,17.0,7.5,4.5,5.0
51,MO,5.57,35,0.92,5,0.97,2938,83.94,14.0,3.0,2.0,8.0,0.8597,2522.0,37.0,37.0,52.62,41.0,0.0,0.0,SerieA,24.0,7.5,4.0,5.5
52,MO,5.54,25,0.96,5,0.76,1509,60.36,5.5,2.0,4.0,15.0,0.7743,840.0,8.0,18.0,48.86,24.0,0.0,0.0,SerieA,13.0,7.5,4.0,5.0
53,A,5.5,34,0.91,5,0.85,2731,80.32,8.5,6.0,2.0,17.0,0.8116,1423.0,10.0,21.0,42.47,32.0,0.0,0.0,SerieA,16.0,8.0,4.0,5.0
54,A,5.35,24,1.04,5,0.5,1088,45.33,2.0,0.0,4.0,11.0,0.7989,649.0,0.0,10.0,48.28,15.0,0.0,0.0,SerieA,20.0,8.5,4.5,4.5
55,MD,5.31,37,0.78,5,0.76,2350,63.51,7.0,6.0,2.0,23.0,0.8194,1347.0,26.0,18.0,46.73,31.0,0.0,0.0,SerieA,15.0,7.0,3.5,5.0
56,MO,5.25,32,0.82,5,0.75,1786,55.81,4.0,2.0,2.0,9.0,0.8093,948.0,21.0,11.0,42.21,24.0,0.0,0.0,SerieA,37.0,7.0,4.0,5.0
57,MO,5.18,37,1.02,5,0.51,1849,49.97,6.5,4.0,5.0,16.0,0.8648,1175.0,11.0,17.0,40.0,26.0,0.0,0.0,SerieA,24.0,8.0,3.5,5.0
58,MO,5.1,34,1.13,5,0.97,2836,83.41,9.5,7.0,8.0,19.0,0.8367,1718.0,16.0,20.0,44.93,31.0,0.0,0.0,SerieA,18.0,8.0,2.5,5.0
59,A,5.09,29,1.04,5,0.72,1925,66.38,9.5,1.0,1.0,19.0,0.7297,930.0,6.0,7.0,42.02,20.0,0.0,0.0,SerieA,12.0,7.5,3.5,4.5
60,A,5.07,37,1.01,5,0.86,2464,66.59,10.5,2.0,1.0,22.0,0.8212,1485.0,8.0,6.0,42.91,34.0,0.0,0.0,SerieA,19.0,7.5,2.5,5.0
61,A,4.72,32,0.98,5,0.78,2173,67.91,6.0,0.0,3.0,21.0,0.6628,839.0,2.0,7.0,33.21,21.0,0.0,0.0,SerieA,21.0,7.5,2.0,4.5
62,A,4.59,33,0.84,5,0.55,1518,46.0,4.5,2.0,3.0,16.0,0.6335,656.0,2.0,9.0,28.05,36.0,0.0,0.0,SerieA,8.0,7.0,3.0,4.5
63,MO,5.77,32,1.0,4,0.91,2554,79.81,11.0,5.0,11.0,19.0,0.7984,1588.0,26.0,29.0,51.52,25.0,0.0,0.0,SerieA,41.0,8.0,3.0,5.5
64,DL,5.71,33,0.77,4,0.79,2088,63.27,10.0,3.0,12.0,34.0,0.7956,1508.0,18.0,25.0,56.69,12.0,0.0,0.0,SerieA,26.0,8.0,4.5,5.5
65,MO,5.52,26,0.82,4,0.92,1788,68.77,9.5,0.0,1.0,8.0,0.8469,914.0,2.0,12.0,49.44,12.0,0.0,0.0,SerieA,26.0,7.0,4.5,5.0
66,MO,5.47,29,0.99,4,0.83,2098,72.34,10.0,5.0,5.0,6.0,0.8079,1070.0,2.0,5.0,38.78,9.0,0.0,0.0,SerieA,20.0,7.0,4.0,5.0
67,DL,5.41,32,0.89,4,1.0,2775,86.72,10.5,3.0,3.0,26.0,0.7927,2187.0,20.0,24.0,59.09,22.0,0.0,0.0,SerieA,22.0,7.0,3.0,5.0
68,MO,5.4,29,0.71,4,0.48,1204,41.52,3.0,3.0,5.0,12.0,0.7589,659.0,5.0,5.0,48.33,14.0,0.0,0.0,SerieA,13.0,7.5,4.0,5.0
69,MD,5.4,30,0.7,4,0.7,1952,65.07,5.0,1.0,1.0,3.0,0.8541,1098.0,12.0,12.0,56.98,22.0,0.0,0.0,SerieA,12.0,7.0,4.0,5.0
70,DC,5.37,30,1.1,4,1.0,2639,87.97,13.5,1.0,3.0,2.0,0.8943,2027.0,42.0,20.0,56.22,29.0,0.0,0.0,SerieA,22.0,8.0,2.5,5.25
71,MO,5.37,30,1.15,4,0.9,2253,75.1,4.5,5.0,13.0,26.0,0.6858,1096.0,16.0,13.0,38.06,8.0,0.0,0.0,SerieA,11.0,8.0,2.5,5.0
72,MO,5.31,26,0.94,4,0.58,1362,52.38,6.0,4.0,10.0,17.0,0.791,935.0,7.0,5.0,41.61,6.0,0.0,0.0,SerieA,22.0,7.0,2.5,5.0
73,MD,5.31,27,0.67,4,0.37,941,34.85,3.0,1.0,5.0,10.0,0.8056,594.0,3.0,9.0,50.39,22.0,0.0,0.0,SerieA,12.0,7.0,4.0,5.0
74,MO,5.3,33,0.78,4,0.73,2007,60.82,7.5,4.0,7.0,22.0,0.855,1030.0,4.0,8.0,42.26,28.0,0.0,0.0,SerieA,12.0,7.5,4.0,5.0
75,A,5.21,28,0.91,4,0.79,1870,66.79,5.0,4.0,5.0,23.0,0.736,1066.0,12.0,18.0,50.0,32.0,0.0,0.0,SerieA,9.0,7.0,3.5,5.0
76,MO,5.17,18,0.92,4,0.44,736,40.89,2.0,2.0,2.0,3.0,0.7044,349.0,0.0,4.0,37.21,13.0,0.0,0.0,SerieA,9.0,7.0,3.5,0.0
77,DL,5.17,21,1.12,4,0.86,1476,70.29,3.0,2.0,3.0,18.0,0.8594,1174.0,9.0,18.0,45.52,18.0,0.0,0.0,SerieA,15.0,7.5,3.5,4.0
78,A,5.13,36,0.78,4,0.47,1893,52.58,9.5,3.0,4.0,16.0,0.8301,1259.0,6.0,24.0,48.99,26.0,0.0,0.0,SerieA,15.0,7.0,4.0,5.0
79,MD,5.08,33,0.98,4,0.82,2272,68.85,5.5,1.0,2.0,8.0,0.7834,1172.0,17.0,22.0,42.86,34.0,0.0,0.0,SerieA,16.0,8.0,3.5,4.5
80,A,4.98,21,1.03,4,0.33,707,33.67,2.0,0.0,1.0,6.0,0.7217,393.0,0.0,2.0,40.48,11.0,0.0,0.0,SerieA,10.0,7.0,4.0,4.0
81,A,4.81,31,0.99,4,0.61,1669,53.84,5.0,5.0,6.0,11.0,0.7591,722.0,3.0,5.0,44.6,29.0,0.0,0.0,SerieA,9.0,7.5,3.0,4.5
82,A,4.79,33,0.93,4,0.7,2144,64.97,2.5,5.0,3.0,17.0,0.6962,932.0,2.0,11.0,43.82,39.0,0.0,0.0,SerieA,15.0,6.5,2.5,4.5
83,A,4.66,25,0.73,4,0.04,386,15.44,0.0,1.0,3.0,3.0,0.6355,221.0,1.0,3.0,41.46,7.0,0.0,0.0,SerieA,12.0,6.0,3.0,4.25
84,MO,5.84,37,0.92,3,0.73,2305,62.3,11.5,8.0,12.0,19.0,0.8699,1831.0,14.0,10.0,46.43,21.0,0.0,0.0,SerieA,22.0,8.0,3.5,5.75
85,MD,5.83,36,0.88,3,1.0,3059,84.97,15.0,5.0,3.0,13.0,0.8871,2799.0,49.0,33.0,47.51,44.0,0.0,0.0,SerieA,25.0,8.0,4.5,5.5
86,MO,5.76,33,1.07,3,0.85,2375,71.97,11.5,6.0,3.0,21.0,0.8747,1992.0,25.0,27.0,47.29,46.0,0.0,0.0,SerieA,32.0,8.0,3.0,5.5
87,MD,5.69,31,0.76,3,0.84,2309,74.48,8.5,2.0,4.0,8.0,0.8364,1809.0,21.0,50.0,56.07,43.0,0.0,0.0,SerieA,20.0,8.0,4.5,5.5
88,DC,5.59,32,0.87,3,0.97,2807,87.72,14.0,1.0,1.0,3.0,0.8673,1683.0,42.0,15.0,68.48,18.0,0.0,0.0,SerieA,25.0,7.5,3.0,5.5
89,MD,5.54,28,1.05,3,0.68,1770,63.21,7.0,5.0,3.0,8.0,0.8937,1741.0,22.0,22.0,48.32,24.0,0.0,0.0,SerieA,23.0,8.0,4.0,4.75
90,DL,5.49,37,0.89,3,0.95,3182,86.0,19.5,3.0,3.0,4.0,0.8367,2655.0,47.0,62.0,61.68,33.0,0.0,0.0,SerieA,22.0,7.5,3.0,5.5
91,DL,5.49,37,0.92,3,0.97,3257,88.03,18.0,4.0,6.0,25.0,0.857,3052.0,30.0,29.0,55.22,31.0,0.0,0.0,SerieA,21.0,8.0,3.5,5.5
92,MO,5.45,37,1.02,3,0.89,2581,69.76,14.0,8.0,10.0,40.0,0.7784,1556.0,16.0,26.0,45.18,29.0,0.0,0.0,SerieA,21.0,8.0,3.0,5.25
93,MO,5.44,31,0.78,3,0.77,1996,64.39,9.5,2.0,3.0,7.0,0.8769,1353.0,21.0,26.0,46.88,28.0,0.0,0.0,SerieA,20.0,7.0,4.0,5.0
94,MO,5.35,26,0.86,3,0.65,1522,58.54,8.0,3.0,1.0,7.0,0.855,813.0,8.0,19.0,45.26,20.0,0.0,0.0,SerieA,11.0,7.5,4.0,5.0
95,MD,5.26,35,1.13,3,0.97,2900,82.86,6.5,3.0,3.0,6.0,0.8388,1684.0,25.0,50.0,50.72,53.0,0.0,0.0,SerieA,17.0,8.0,3.0,5.0
96,MD,5.25,28,0.86,3,0.75,1628,58.14,2.0,1.0,3.0,8.0,0.8631,1530.0,20.0,26.0,57.89,18.0,0.0,0.0,SerieA,12.0,8.0,3.5,5.0
97,MD,5.24,35,0.76,3,0.97,2964,84.69,10.5,1.0,2.0,6.0,0.8249,2269.0,36.0,39.0,52.7,46.0,0.0,0.0,SerieA,19.0,7.0,4.0,5.0
98,DC,5.24,33,1.1,3,0.97,2796,84.73,10.5,0.0,1.0,7.0,0.8611,2116.0,67.0,33.0,62.67,44.0,0.0,0.0,SerieA,20.0,7.5,3.0,5.25
99,DC,5.22,32,1.15,3,1.0,2732,85.38,8.5,2.0,4.0,1.0,0.8378,1750.0,29.0,23.0,59.21,29.0,0.0,0.0,SerieA,16.0,7.5,3.0,5.0
100,A,5.2,32,0.78,3,0.63,1610,50.31,10.0,3.0,5.0,20.0,0.811,892.0,15.0,13.0,51.81,27.0,0.0,0.0,SerieA,13.0,7.0,4.0,5.0
101,DL,5.18,33,1.03,3,0.94,2716,82.3,9.5,4.0,2.0,19.0,0.8257,1665.0,37.0,45.0,54.7,37.0,0.0,0.0,SerieA,13.0,7.5,3.0,5.0
102,A,5.17,32,1.07,3,0.81,1968,61.5,6.0,8.0,9.0,17.0,0.7677,1138.0,1.0,4.0,36.71,20.0,0.0,0.0,SerieA,18.0,7.5,3.5,4.5
103,DL,5.15,37,0.93,3,1.0,3330,90.0,8.0,0.0,1.0,4.0,0.727,1850.0,36.0,30.0,55.34,37.0,0.0,0.0,SerieA,17.0,7.5,3.5,5.0
104,MO,5.11,27,0.75,3,0.52,1166,43.19,4.5,3.0,7.0,15.0,0.7833,851.0,7.0,9.0,50.39,11.0,0.0,0.0,SerieA,12.0,7.0,4.0,4.5
105,MO,5.08,31,0.75,3,0.39,1315,42.42,3.5,0.0,1.0,16.0,0.6595,827.0,29.0,13.0,51.72,10.0,0.0,0.0,SerieA,10.0,8.0,4.5,5.0
106,DL,5.08,32,0.54,3,0.34,1167,36.47,4.0,0.0,1.0,7.0,0.8049,834.0,23.0,18.0,56.64,17.0,0.0,0.0,SerieA,12.0,7.0,4.5,5.0
107,MO,4.95,32,0.7,3,0.84,2188,68.38,4.0,0.0,2.0,9.0,0.8008,1117.0,7.0,22.0,45.79,38.0,0.0,0.0,SerieA,14.0,7.0,3.5,5.0
108,A,4.9,25,0.79,3,0.44,994,39.76,1.5,0.0,1.0,16.0,0.7065,573.0,8.0,4.0,48.08,2.0,0.0,0.0,SerieA,11.0,7.5,4.0,4.5
109,A,4.83,20,0.8,3,0.7,1057,52.85,2.0,1.0,0.0,5.0,0.6557,437.0,8.0,8.0,49.49,22.0,0.0,0.0,SerieA,11.0,6.5,4.0,4.0
110,A,4.83,23,0.94,3,0.43,976,42.43,3.5,2.0,4.0,8.0,0.6083,491.0,1.0,8.0,42.62,18.0,0.0,0.0,SerieA,10.0,7.5,3.5,4.0
111,A,4.79,29,0.89,3,0.34,1065,36.72,3.0,3.0,6.0,17.0,0.7331,788.0,2.0,7.0,38.04,18.0,0.0,0.0,SerieA,9.0,7.0,2.0,4.5
112,A,4.79,26,0.71,3,0.46,943,36.27,2.5,1.0,2.0,6.0,0.7225,434.0,3.0,7.0,44.14,12.0,0.0,0.0,SerieA,9.0,6.5,4.0,4.5
113,DL,4.72,34,0.93,3,0.74,2213,65.09,6.5,3.0,2.0,9.0,0.8085,1782.0,24.0,20.0,42.05,16.0,0.0,0.0,SerieA,14.0,7.0,3.0,5.0
114,DC,5.64,35,0.98,2,1.0,3054,87.26,16.0,2.0,2.0,2.0,0.9056,3172.0,41.0,30.0,61.57,30.0,0.0,0.0,SerieA,30.0,7.5,2.5,5.5
115,MD,5.59,28,0.92,2,0.86,2011,71.82,8.5,2.0,4.0,10.0,0.888,1756.0,26.0,33.0,53.06,36.0,0.0,0.0,SerieA,10.0,7.5,4.0,5.0
116,MD,5.56,34,1.09,2,0.88,2721,80.03,9.0,7.0,12.0,15.0,0.7894,1913.0,24.0,41.0,58.05,35.0,0.0,0.0,SerieA,26.0,8.0,2.5,5.5
117,MD,5.54,28,0.9,2,0.82,2072,74.0,9.5,1.0,3.0,8.0,0.9,1463.0,17.0,21.0,61.24,21.0,0.0,0.0,SerieA,10.0,8.0,4.0,5.0
118,A,5.5,16,0.97,2,0.94,1218,76.13,3.5,6.0,3.0,10.0,0.7968,771.0,2.0,5.0,40.4,8.0,0.0,0.0,SerieA,8.0,7.5,4.0,0.0
119,MD,5.47,29,0.89,2,0.76,1954,67.38,6.5,4.0,7.0,8.0,0.8258,1236.0,16.0,23.0,50.76,31.0,0.0,0.0,SerieA,11.0,7.5,3.5,5.0
120,DC,5.47,29,0.93,2,0.93,2450,84.48,10.5,1.0,2.0,1.0,0.8806,2407.0,14.0,18.0,60.21,22.0,0.0,0.0,SerieA,22.0,7.5,3.0,5.0
121,MD,5.44,25,1.11,2,0.92,2031,81.24,9.0,3.0,2.0,3.0,0.8174,1476.0,13.0,17.0,54.14,22.0,0.0,0.0,SerieA,10.0,7.5,3.5,4.75
122,MO,5.4,15,1.06,2,0.47,716,47.73,4.0,1.0,1.0,9.0,0.8366,353.0,8.0,8.0,42.86,12.0,0.0,0.0,SerieA,8.0,8.0,4.5,0.0
123,MD,5.39,32,0.85,2,0.53,1685,52.66,9.5,0.0,0.0,4.0,0.8613,1187.0,16.0,27.0,53.49,27.0,0.0,0.0,SerieA,12.0,8.0,3.5,5.0
124,MD,5.37,35,0.75,2,0.46,1836,52.46,6.0,2.0,4.0,3.0,0.8649,1552.0,25.0,27.0,60.23,19.0,0.0,0.0,SerieA,16.0,7.0,3.5,5.0
125,DL,5.33,26,0.85,2,0.85,1926,74.08,7.5,4.0,3.0,6.0,0.7509,1135.0,12.0,14.0,50.36,12.0,0.0,0.0,SerieA,11.0,7.0,4.0,4.75
126,DC,5.3,27,0.94,2,0.85,2136,79.11,8.0,1.0,2.0,4.0,0.8507,1546.0,22.0,25.0,63.21,39.0,0.0,0.0,SerieA,11.0,7.0,3.0,5.0
127,DC,5.3,32,1.0,2,1.0,2791,87.22,9.5,1.0,0.0,12.0,0.8043,2094.0,57.0,44.0,55.42,38.0,0.0,0.0,SerieA,14.0,7.0,3.5,5.0
128,DC,5.28,34,0.99,2,0.97,2925,86.03,17.5,0.0,1.0,0.0,0.8938,2138.0,37.0,15.0,58.41,35.0,0.0,0.0,SerieA,17.0,7.5,3.5,5.25
129,DC,5.2,28,0.84,2,1.0,2486,88.79,9.5,1.0,1.0,12.0,0.784,1729.0,26.0,36.0,66.54,38.0,0.0,0.0,SerieA,11.0,7.0,3.0,5.0
130,MD,5.2,30,0.86,2,0.47,1397,46.57,6.0,3.0,6.0,13.0,0.7912,917.0,19.0,20.0,47.42,23.0,0.0,0.0,SerieA,11.0,7.0,3.5,5.0
131,MO,5.18,28,0.67,2,0.46,1280,45.71,2.5,1.0,0.0,7.0,0.7368,852.0,8.0,23.0,53.39,22.0,0.0,0.0,SerieA,10.0,7.0,4.0,5.0
132,MD,5.17,23,0.63,2,0.22,631,27.43,3.0,0.0,1.0,3.0,0.8143,422.0,2.0,6.0,51.28,13.0,0.0,0.0,SerieA,8.0,7.0,4.0,4.75
133,MD,5.15,33,1.08,2,0.85,2540,76.97,7.0,4.0,5.0,17.0,0.8389,1890.0,14.0,22.0,50.49,30.0,0.0,0.0,SerieA,13.0,8.0,3.5,5.0
134,MO,5.14,28,0.92,2,0.57,1460,52.14,6.0,2.0,4.0,31.0,0.7146,804.0,2.0,1.0,37.13,17.0,0.0,0.0,SerieA,11.0,7.0,3.5,4.75
135,MO,5.13,23,0.86,2,0.22,772,33.57,1.5,5.0,3.0,6.0,0.8501,676.0,1.0,5.0,59.4,4.0,0.0,0.0,SerieA,12.0,7.0,4.0,4.5
136,DC,5.13,36,0.99,2,1.0,3137,87.14,10.0,0.0,1.0,1.0,0.8478,2102.0,43.0,18.0,56.58,21.0,0.0,0.0,SerieA,12.0,7.5,3.5,5.0
137,DL,5.13,19,1.08,2,0.79,1198,63.05,2.0,4.0,3.0,17.0,0.7027,795.0,8.0,24.0,49.04,29.0,0.0,0.0,SerieA,9.0,7.5,3.5,1.75
138,DL,5.12,33,0.71,2,0.91,2554,77.39,8.5,4.0,6.0,21.0,0.7797,2291.0,14.0,38.0,56.09,29.0,0.0,0.0,SerieA,22.0,6.5,3.5,5.0
139,A,5.1,21,0.96,2,0.29,843,40.14,4.0,5.0,4.0,19.0,0.776,532.0,0.0,11.0,47.58,13.0,0.0,0.0,SerieA,9.0,7.0,3.0,4.0
140,MD,5.1,35,0.93,2,0.8,2284,65.26,14.0,0.0,2.0,13.0,0.7505,1418.0,18.0,33.0,43.98,53.0,0.0,0.0,SerieA,14.0,7.5,3.5,5.0
