Joueur,Poste,Cote,Enchère moy,Note,Note série,Note 1 an,Nb match,Nb match série,Nb match 1 an,Variation,Var série,Var 1 an,But,Buts série,Buts 1 an,%Titu,%Titu série,%Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,Min note/but,Prix/but,j38,j37,j36,j35,j34,j33,j32,j31,j30,j29,j28,j27,j26,j25,j24,j23,j22,j21,j20,j19,j18,j17,j16,j15,j14,j13,j12,j11,j10,j9,j8,j7,j6,j5,j4,j3,j2,j1,Cleansheet,But/Peno,But/Coup-franc,But/surface,Pass decis.,Occas° créée,Corner gagné,%Passes,Ballons,Interceptions,Tacles,%Duel,Fautes,But évité,Action stoppée,DMI,Club,Prochain opposant,Date,Victoire probable,%Win+12J,%Win+16J,%Win+20J,Ligue
Machís Darwin,MO,5,5,5.14,5,5.14,11,4,11,0.9,0.71,0.9,0,0,0,0.64,0.75,0.64,597,213,597,54.27,53.25,54.27,,,,1000,5,4.5,6,4.5,0,0,0,0,4.5,0,0,0,0,4,4.5,0,5,6,5.5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,1,4,8,0.7803,323,3,2,38.57,10,,,0,Valladolid,,,,,,,Liga
Villar Iván,G,15,,5.13,5.13,5.13,19,19,19,1,1,1,0,0,0,1,1,1,1710,1710,1710,90,90,90,,,,1000,5,4.5,6,4,4.5,5.5,3,6,5,4.5,4,4,5.5,6,7,6,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,,28,10,0,Celta,,,,,,,Liga
Simón Unai,G,13,,5.13,5,5.17,31,2,33,1.05,0,1.03,0,0,0,1,1,1,2745,180,2925,88.55,90,88.64,,,,1000,5,5,0,5.5,3,4.5,0,4.5,6,6.5,4,0,0,0,0,4,0,7,5.5,5.5,4,4,5.5,7,5.5,6,6.5,3,4,4,5,6,5,5,5,6,5.5,6,9,,,,,,,,,,,,,45,25,0,Athletic,,,,,,,Liga
Valjent Martin,DC,9,,5.13,5.5,5.19,30,7,32,0.95,0.76,0.95,0,0,0,1,1,1,2659,630,2839,88.63,90,88.72,,,,1000,6,5.5,6,4,6,5,6,0,5.5,6,3,0,0,0,5,4,0,4,0,3.5,6,5,5.5,0,6.5,6,5,5.5,0,5,4.5,4.5,5.5,3,5.5,6,5,6,14.5,,,,,1,,0.7759,1431,30,26,53.64,33,,,0,Mallorca,,,,,,,Liga
Moriba Ilaix,MD,12,,5.13,0,5.19,24,0,26,0.76,0,0.81,0,0,0,0.42,0,0.46,1004,0,1184,41.83,0,45.54,,,,1000,0,0,0,0,4.5,4.5,4.5,5.5,0,4,0,5.5,5.5,5.5,5,5,4.5,7,5,5,4.5,5.5,5,5,0,0,0,0,6,5,5.5,5.5,6.5,0,3.5,0,0,0,4,,,,2,3,4,0.8078,706,4,17,54.12,32,,,0,Valencia,,,,,,,Liga
González Giovanni,DL,5,,5.13,5,5.13,15,2,15,0.61,0,0.61,0,0,0,0.6,0,0.6,921,8,921,61.4,4,61.4,,,,1000,5,5,0,4.5,0,0,0,0,0,0,0,4.5,4.5,5.5,0,0,5,0,5.5,5,0,0,5.5,0,5,7,5,5,5,0,0,0,0,0,0,0,0,0,4.5,,,,2,1,2,0.8019,538,7,8,53,16,,,0,Mallorca,,,,,,,Liga
Swedberg Williot,MD,4,,5.13,0,5.13,4,0,4,0.25,0,0.25,0,0,0,0,0,0,52,0,52,13,0,13,,,,1000,0,0,0,0,5,0,0,0,5.5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0.5209,29,,1,71.43,1,,,0,Celta,,,,,,,Liga
Marchesín Agustín,G,3,3,5.13,0,5.13,19,0,19,1.16,0,1.16,0,0,0,1,0,1,1710,0,1710,90,0,90,,,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,4.5,7,6,6.5,4.5,4,4,4.5,5.5,6,7,4,3,5,6.5,4.5,4,6,,,,,,,,,,,,,31,13,0,Celta,,,,,,,Liga
Bounou Yassine,G,7,,5.12,0,5.12,25,0,26,1.19,0,1.17,0,0,0,1,0,1,2152,0,2242,86.08,0,86.23,,,,1000,0,4,0,0,0,0,0,0,0,0,0,0,4,4.5,2,4,6,6,4.5,6,5.5,6,5,6,7,6,0,4,7,7,0,5,5,5.5,3.5,4.5,5,5,4,,,,,,,,,,,,,45,22,0,Sevilla,,,,,,,Liga
Dimitrievski Stole,G,14,21,5.11,5.17,5.11,37,30,38,1.09,1.08,1.07,0,0,0,1,1,1,3325,2695,3415,89.86,89.83,89.87,,,,1000,3.5,5,4,5.5,3.5,5.5,4,6,4,6,4,5.5,5,4,6.5,5.5,4.5,4,7,6.5,5,6.5,4,6,6.5,4.5,7,4.5,5.5,6,0,4,4.5,4,4.5,4,6,7,9,,,,,,,,,,,,,60,34,0,Rayo Vallecano,,,,,,,Liga
Le Normand Robin,DC,12,16,5.11,0,5.06,33,0,35,0.92,0,0.92,0,0,0,0.94,0,0.94,2795,0,2975,84.7,0,85,,,,1000,0,3.5,6,5.5,3.5,6,5,5,0,4,6,4.5,7,4.5,6,5,4,4.5,4.5,4.5,6,6,5.5,6.5,5,6,4.5,5,5,5.5,5.5,0,0,0,4.5,5.5,3,6,12,,,,,,2,0.8414,2020,33,22,62.59,44,,,0,Real Sociedad,,,,,,,Liga
Thierry Correia,DL,8,,5.11,5.5,5.17,27,4,29,0.81,0.82,0.83,0,0,0,0.89,1,0.9,2016,271,2174,74.67,67.75,74.97,,,,1000,5.5,4.5,5.5,6.5,0,4.5,5.5,0,0,0,0,5,5,5,6,5,0,0,0,0,0,0,4.5,4.5,6,4,4.5,5,5.5,3.5,5,4,7,4.5,6.5,5,5.5,5,5.5,,,,,1,15,0.7742,1703,24,52,59.22,40,,,0,Valencia,,,,,,,Liga
Magallán Lisandro,DC,8,,5.11,5.5,5.11,14,2,14,0.59,0,0.59,0,0,0,0.79,1,0.79,901,177,901,64.36,88.5,64.36,,,,1000,5.5,5.5,0,5,5.5,4.5,6,5.5,0,0,0,0,0,5.5,0,4,5,4,5,5,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,1,0.7747,494,13,13,56.58,15,,,0,Elche,,,,,,,Liga
Rico Diego,DL,5,,5.1,5,5,20,1,22,0.6,0,0.65,0,0,0,0.9,1,0.91,1647,90,1827,82.35,90,83.05,,,,1000,5,0,0,5.5,0,0,0,0,0,0,0,0,0,4,4.5,5,5,4.5,4,5,6,5.5,6,6,5,5.5,4.5,5.5,5,5,0,0,0,0,0,0,0,5.5,5.5,,,,,2,7,0.7804,1232,19,21,53.94,27,,,0,Real Sociedad,,,,,,,Liga
Baba Iddrisu,MD,9,,5.1,5.2,5.1,29,5,29,0.69,1.35,0.69,0,0,0,0.69,0.8,0.69,1747,373,1747,60.24,74.6,60.24,,,,1000,5,4.5,7,3.5,6,0,5,4.5,5,5,0,5.5,5.5,5,0,0,0,4.5,5,0,5.5,5,5.5,4.5,5,6.5,5,5.5,0,4,4.5,5.5,5.5,5,0,0,5,5,5.5,,,,,,1,0.743,823,11,17,52.68,31,,,0,Mallorca,,,,,,,Liga
Hernández Aridane,DC,7,,5.09,5.05,5.02,23,10,24,0.79,0.72,0.84,0,0,0,0.87,0.8,0.88,1790,747,1880,77.83,74.7,78.33,,,,1000,5.5,6,6,4,5.5,5,4.5,5,5,4,0,6,4,4.5,5,4.5,0,7,0,5,5.5,6,5.5,0,0,0,0,0,0,4,4.5,5,0,0,0,0,0,0,4,,,,1,1,,0.7925,1111,28,15,60.53,14,,,0,Osasuna,,,,,,,Liga
Luiz Felipe,DC,10,,5.09,0,5.04,23,0,24,0.73,0,0.75,0,0,0,0.96,0,0.96,1766,0,1811,76.78,0,75.46,,,,1000,0,5.5,4.5,6,0,0,5,5.5,4,5.5,5,5,0,0,5,5.5,5,0,3,6,0,4.5,0,6,0,0,0,5,0,5,0,4,5.5,6,5.5,5,0,0,4,,,,,2,,0.8307,1148,27,23,54.11,10,,,0,Betis,,,,,,,Liga
Villar Gonzalo,MD,8,,5.09,0,4.91,16,0,33,0.2,0,0.46,0,0,0,0.19,0,0.33,444,0,1190,27.75,0,36.06,,,,1000,0,5,0,5,0,0,5,5,5,5,5,5,5,0,0,5,5.5,5.5,5,5,5.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,1,,0.8106,341,6,5,48.24,20,,,0,Getafe,,,,,,,Liga
Dani García,MD,11,,5.08,0,5.07,25,0,27,0.73,0,0.72,0,0,0,0.72,0,0.7,1491,0,1603,59.64,0,59.37,,,,1000,0,0,0,5,3,4,5,5.5,0,6.5,6,5,5.5,5,5.5,0,4.5,5,5,5,0,4.5,0,5.5,0,0,0,4.5,5,5,5,6.5,5.5,5.5,0,4.5,0,0,6,,,,2,1,2,0.7766,895,19,25,54.36,33,,,0,Athletic,,,,,,,Liga
Lunin Andrii,G,7,7,5.07,0,5.38,7,0,8,1.21,0,1.41,0,0,0,1,0,1,630,0,720,90,0,90,,,,1000,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,4.5,0,0,0,0,0,0,0,0,0,6.5,6,6,4.5,0,0,0,0,0,0,3,,,,,,,,,,,,,6,6,0,Real Madrid,,,,,,,Liga
Mitrovic Stefan,DC,1,1,5.07,5.21,5,22,7,23,0.85,0.39,0.89,0,0,0,0.82,0.86,0.83,1677,548,1767,76.23,78.29,76.83,,,,1000,5.5,5.5,5.5,5,4.5,5.5,5,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,5,5,5.5,5.5,5.5,4.5,6,4.5,5,7,5.5,4,0,3.5,3,7.5,,,,,,,0.7107,670,16,6,63.53,13,,,0,Getafe,,,,,,,Liga
Alex Telles,DL,10,,5.07,5,5.07,27,1,28,0.53,0,0.52,0,0,0,0.56,0,0.57,1426,45,1516,52.81,45,54.14,,,,1000,5,0,5.5,5,6,5,0,5,5,0,3.5,5,5.5,6.5,5.5,5,5.5,0,0,0,0,0,0,0,5.5,5,5,4.5,5,5,4.5,4.5,5,5,0,5,5,5,3.5,,,,2,2,5,0.7628,919,21,14,52.9,25,,,0,Sevilla,,,,,,,Liga
Pacheco Jon,DC,5,,5.06,5.5,5.06,17,1,17,0.92,0,0.92,0,0,0,0.71,1,0.71,1189,90,1189,69.94,90,69.94,,,,1000,5.5,0,6,5,5,6,0,0,4,0,6,0,0,5.5,0,0,0,0,0,0,0,0,0,0,5.5,5.5,3.5,0,5.5,0,6,4,5,3,0,5,0,0,4,,,,1,,,0.8818,1018,12,10,55.66,18,,,0,Real Sociedad,,,,,,,Liga
Musah Yunus,MO,12,12,5.06,3.5,5.06,33,1,35,0.75,0,0.73,0,0,0,0.79,0,0.74,2123,3,2159,64.33,3,61.69,,,,1000,3.5,0,0,5,5,4.5,4.5,5.5,5.5,5.5,5,6,4.5,6,4.5,5,5,5,4.5,4.5,5,5,5,4.5,6,4.5,0,4.5,5,5,4.5,0,0,5,8,5,5.5,5.5,6.5,,,,2,3,18,0.7458,1116,11,35,50.34,42,,,0,Valencia,,,,,,,Liga
Muñoz Iker,MD,3,,5.06,0,5.06,8,0,8,0.62,0,0.62,0,0,0,0.25,0,0.25,250,0,250,31.25,0,31.25,,,,1000,0,4.5,5,5,0,6,4.5,6,5,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,0.6557,139,3,,50,5,,,0,Osasuna,,,,,,,Liga
Vázquez Jesús,DC,8,,5.05,4.5,5.05,10,1,10,0.6,0,0.6,0,0,0,0.3,0,0.3,305,12,305,30.5,12,30.5,,,,1000,4.5,0,0,0,0,0,0,0,0,5,0,0,0,0,6,5,0,0,5,5,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,4,6,2,,,,,,4,0.7305,250,1,8,50,4,,,0,Valencia,,,,,,,Liga
Mascarell Omar,MD,12,12,5.05,0,5.1,28,0,30,0.8,0,0.81,0,0,0,1,0,0.97,2450,0,2545,87.5,0,84.83,,,,1000,0,0,0,0,0,0,0,5,4,5,5.5,5,6,5.5,6,6,5,0,6,3.5,6,6,6,5,5,5,5,5.5,4.5,5,5.5,0,0,4.5,3,4.5,4.5,4,3,,,,1,2,5,0.844,1596,43,26,54.11,21,,,0,Elche,,,,,,,Liga
Marín Pablo,MO,1,,5.05,0,5.05,10,0,10,0.44,0,0.44,0,0,0,0.3,0,0.3,356,0,356,35.6,0,35.6,,,,1000,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4.5,4.5,5,5.5,6,0,5,0,5,0,5,5,0,0,0,0,0,0,0,0,0,0,1,,,,,1,,0.8044,227,4,6,43.14,12,,,0,Real Sociedad,,,,,,,Liga
Vidal Aleix,DL,8,,5.04,0,5.08,25,0,26,0.63,0,0.64,0,0,0,0.4,0,0.42,1019,0,1109,40.76,0,42.65,,,,1000,0,4.5,7,0,0,0,5,0,5,0,4,0,4.5,5,0,6,4.5,4.5,5.5,5,5,5.5,5,5,5.5,5,5,4.5,5,5.5,5.5,4,5,0,0,0,0,0,3,,,,3,5,6,0.7369,521,13,5,37.11,23,,,0,Espanyol,,,,,,,Liga
Solari Augusto,MO,7,,5.04,0,5.07,12,0,14,0.26,0,0.27,0,0,0,0.25,0,0.36,255,0,370,21.25,0,26.43,,,,1000,0,0,0,0,0,0,0,0,5,0,0,0,5,5,5,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,5,5.5,0,4.5,5,5,0,5.5,,,,,1,,,0.6529,173,5,6,40,9,,,0,Celta,,,,,,,Liga
